"","thres","n","snr","test","power"
"405",0.05,690,14.55,"URXOP6",0.3
"406",0.05,690,14.55,"URXOP1",1
"407",0.05,690,14.55,"URXOP3",0.79
"408",0.05,690,14.55,"URXOP5",0.87
"409",0.05,700,14.82,"URXOP2",1
"410",0.05,700,14.82,"URXOP4",0.79
"411",0.05,700,14.82,"URXOP6",0.31
"412",0.05,700,14.82,"URXOP1",1
"413",0.05,700,14.82,"URXOP3",0.73
"414",0.05,700,14.82,"URXOP5",0.88
"415",0.05,710,14.47,"URXOP2",1
"416",0.05,710,14.47,"URXOP4",0.75
"417",0.05,710,14.47,"URXOP6",0.34
"418",0.05,710,14.47,"URXOP1",1
"419",0.05,710,14.47,"URXOP3",0.79
"420",0.05,710,14.47,"URXOP5",0.8
"421",0.05,720,14.39,"URXOP2",1
"422",0.05,720,14.39,"URXOP4",0.82
"423",0.05,720,14.39,"URXOP6",0.37
"424",0.05,720,14.39,"URXOP1",1
"425",0.05,720,14.39,"URXOP3",0.79
"426",0.05,720,14.39,"URXOP5",0.72
"427",0.05,730,14.81,"URXOP2",1
"428",0.05,730,14.81,"URXOP4",0.81
"429",0.05,730,14.81,"URXOP6",0.38
"430",0.05,730,14.81,"URXOP1",1
"431",0.05,730,14.81,"URXOP3",0.8
"432",0.05,730,14.81,"URXOP5",0.8
"433",0.05,740,15.12,"URXOP2",1
"434",0.05,740,15.12,"URXOP4",0.75
"435",0.05,740,15.12,"URXOP6",0.26
"436",0.05,740,15.12,"URXOP1",1
"437",0.05,740,15.12,"URXOP3",0.83
"438",0.05,740,15.12,"URXOP5",0.84
"439",0.05,750,14.73,"URXOP2",1
"440",0.05,750,14.73,"URXOP4",0.77
"441",0.05,750,14.73,"URXOP6",0.38
"442",0.05,750,14.73,"URXOP1",1
"443",0.05,750,14.73,"URXOP3",0.85
"444",0.05,750,14.73,"URXOP5",0.77
"445",0.05,760,14.7,"URXOP2",1
"446",0.05,760,14.7,"URXOP4",0.81
"447",0.05,760,14.7,"URXOP6",0.35
"448",0.05,760,14.7,"URXOP1",1
"449",0.05,760,14.7,"URXOP3",0.82
"450",0.05,760,14.7,"URXOP5",0.76
"451",0.05,770,14.7,"URXOP2",1
"452",0.05,770,14.7,"URXOP4",0.87
"453",0.05,770,14.7,"URXOP6",0.28
"454",0.05,770,14.7,"URXOP1",1
"455",0.05,770,14.7,"URXOP3",0.75
"456",0.05,770,14.7,"URXOP5",0.83
"457",0.05,780,14.75,"URXOP2",1
"458",0.05,780,14.75,"URXOP4",0.76
"459",0.05,780,14.75,"URXOP6",0.36
"460",0.05,780,14.75,"URXOP1",1
"461",0.05,780,14.75,"URXOP3",0.8
"462",0.05,780,14.75,"URXOP5",0.86
"463",0.05,790,15.14,"URXOP2",1
"464",0.05,790,15.14,"URXOP4",0.83
"465",0.05,790,15.14,"URXOP6",0.42
"466",0.05,790,15.14,"URXOP1",1
"467",0.05,790,15.14,"URXOP3",0.79
"468",0.05,790,15.14,"URXOP5",0.82
"469",0.05,800,14.48,"URXOP2",1
"470",0.05,800,14.48,"URXOP4",0.83
"471",0.05,800,14.48,"URXOP6",0.35
"472",0.05,800,14.48,"URXOP1",1
"473",0.05,800,14.48,"URXOP3",0.77
"474",0.05,800,14.48,"URXOP5",0.8
"475",0.05,810,14.78,"URXOP2",1
"476",0.05,810,14.78,"URXOP4",0.86
"477",0.05,810,14.78,"URXOP6",0.37
"478",0.05,810,14.78,"URXOP1",1
"479",0.05,810,14.78,"URXOP3",0.8
"480",0.05,810,14.78,"URXOP5",0.89
"481",0.05,820,14.99,"URXOP2",1
"482",0.05,820,14.99,"URXOP4",0.79
"483",0.05,820,14.99,"URXOP6",0.35
"484",0.05,820,14.99,"URXOP1",1
"485",0.05,820,14.99,"URXOP3",0.8
"486",0.05,820,14.99,"URXOP5",0.82
"487",0.05,830,14.62,"URXOP2",1
"488",0.05,830,14.62,"URXOP4",0.79
"489",0.05,830,14.62,"URXOP6",0.32
"490",0.05,830,14.62,"URXOP1",1
"491",0.05,830,14.62,"URXOP3",0.82
"492",0.05,830,14.62,"URXOP5",0.79
"493",0.05,840,14.83,"URXOP2",1
"494",0.05,840,14.83,"URXOP4",0.72
"495",0.05,840,14.83,"URXOP6",0.44
"496",0.05,840,14.83,"URXOP1",1
"497",0.05,840,14.83,"URXOP3",0.84
"498",0.05,840,14.83,"URXOP5",0.83
"499",0.05,850,14.89,"URXOP2",1
"500",0.05,850,14.89,"URXOP4",0.83
"501",0.05,850,14.89,"URXOP6",0.38
"502",0.05,850,14.89,"URXOP1",1
"503",0.05,850,14.89,"URXOP3",0.79
